wishlist_artist,wishlist_title,wishlist_notes,found_artist,found_title,year,format,label,country,num_for_sale,lowest_price,community_have,community_want,release_url,marketplace_url
Curtis Mayfield,Superfly,,Curtis Mayfield,Superfly,1972,"Vinyl, 7"", 45 RPM, Single","Buddah Records, Polydor Records Ltd., Ivan Mogull Music, Camad Publishers, Phonodisc Ltd., Phonodisc Ltd.",UK,23,8.67,232,144,https://www.discogs.com/release/10419128,https://www.discogs.com/sell/release/10419128
Curtis Mayfield,Superfly,,Curtis Mayfield,Superfly,2022,"Vinyl, LP, Album, Limited Edition, Reissue","Curtom, Curtom Records, Rhino Entertainment Company, Warner Music Group, Rhino Entertainment Company, Rhino Entertainment Company, Camad Music Co., Curtom Publishing Co., Walmart, Curtom",US,6,32.00,1296,489,https://www.discogs.com/release/23757107,https://www.discogs.com/sell/release/23757107
Curtis Mayfield,Superfly,,Curtis Mayfield,Superfly,1972,"Vinyl, 7"", Stereo","Buddah Records, Discotheque Special, Curtom Publishing Co., Inc., Camad Music Co.",Germany,17,0.32,225,117,https://www.discogs.com/release/3904019,https://www.discogs.com/sell/release/3904019
Marvin Gaye,What's Going On,,Marvin Gaye,What’s Going On,,"Vinyl, LP, Album","Motown, Mareco, Inc., Motown Record Corporation, Motown Record Corporation",Philippines,1,20.00,3,259,https://www.discogs.com/release/23888714,https://www.discogs.com/sell/release/23888714
Marvin Gaye,What's Going On,,Marvin Gaye,What's Going On,1971,"Vinyl, LP, Album","Tamla Motown, Ampex Music Of Canada",Canada,0,N/A,0,0,https://www.discogs.com/release/10333601,https://www.discogs.com/sell/release/10333601
Marvin Gaye,What's Going On,,Marvin Gaye,What's Going On,1971,"Vinyl, 7"", Single","Tamla Motown, E.M.I. (Australia)",Australia,0,N/A,12,58,https://www.discogs.com/release/13340919,https://www.discogs.com/sell/release/13340919
Stevie Wonder,Songs in the Key of Life,,Stevie Wonder,Songs In The Key Of Life,1977,"Vinyl, LP, Vinyl, 7""","Motown, Tamla",Uruguay,0,N/A,12,541,https://www.discogs.com/release/10348669,https://www.discogs.com/sell/release/10348669
Stevie Wonder,Songs in the Key of Life,,Stevie Wonder,Songs In The Key Of Life,1977,"Vinyl, LP, Vinyl, LP, All Media, Album","Tamla, Tamla, Tamla, Melodi Plak Ve Ses Endüstrisi",Turkey,3,53.95,25,513,https://www.discogs.com/release/11477586,https://www.discogs.com/sell/release/11477586
Stevie Wonder,Songs in the Key of Life,,Stevie Wonder,Songs In The Key Of Life,1976,"Vinyl, LP, Album, Vinyl, 7"", 33 ⅓ RPM, EP","Motown, Motown, Pathé Marconi EMI, Motown Record Corporation, Pathé Marconi EMI, Pathé Marconi EMI, Pathé Marconi EMI, Chatou, Pathé Marconi EMI, Chatou, Pathé Marconi EMI, Chatou, Pathé Marconi EMI, Chatou, Pathé Marconi EMI, Chatou, Pathé Marconi EMI, Chatou, Offset France, Monarch Record Mfg. Co., Monarch Record Mfg. Co., Monarch Record Mfg. Co., Crystal Sound",France,24,6.76,4269,1215,https://www.discogs.com/release/168314,https://www.discogs.com/sell/release/168314
Prince,Purple Rain,,Prince,Purple Rain,1984,"Vinyl, 7"", 45 RPM, Single, Test Pressing","Warner Bros. Records, Specialty Records Corporation",US,0,N/A,10,77,https://www.discogs.com/release/16917822,https://www.discogs.com/sell/release/16917822
Prince,Purple Rain,,Prince And The Revolution,Purple Rain,1984,"Vinyl, LP, Album","Warner Bros. Records, Warner Bros. Records, Warner Communications, Warner Bros. Records Inc., WEA International Inc., Warner Bros. Records Inc., Controversy Music, The Warehouse, St. Louis Park, Sunset Sound, First Avenue, Record Plant, N.Y.C., Capitol Records Pressing Plant, Winchester, Warner Bros.",US,35,18.20,3029,1074,https://www.discogs.com/release/8306054,https://www.discogs.com/sell/release/8306054
Prince,Purple Rain,,Prince And The Revolution,Purple Rain,1984,"Vinyl, LP, Album","Warner Bros. Records, WEA International Inc., WEA International Inc., WEA Records (Pty) Ltd.",South Africa,3,13.26,119,715,https://www.discogs.com/release/4776781,https://www.discogs.com/sell/release/4776781
Michael Jackson,Thriller,,Michael Jackson,Thriller,1982,"Vinyl, LP, Album","Epic, Epic Records, CBS Inc., Columbia Records Pressing Plant, Pitman, Customatrix, CBS Inc., CBS Inc., Westlake Audio, Quincy Jones Productions, Ocean Way Recording",US,0,N/A,0,0,https://www.discogs.com/release/11076265,https://www.discogs.com/sell/release/11076265
Michael Jackson,Thriller,,Michael Jackson,Thriller,1982,"Vinyl, LP, Album","Epic, Epic Records, CBS Inc., Ocean Way Recording, CBS (Portugal) Música E Discos, Lda.",Portugal,0,N/A,0,0,https://www.discogs.com/release/6766982,https://www.discogs.com/sell/release/6766982
Michael Jackson,Thriller,,Michael Jackson,Thriller,2015,"Vinyl, LP, Reissue","Epic, MJJ Productions",Europe,9,20.28,1130,40,https://www.discogs.com/release/33488300,https://www.discogs.com/sell/release/33488300
