listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747968971,100 Proof Aged In Soul,Somebody's Been Sleeping In My Bed,Hot Wax (4),HA 704,1970,"LP, Album",,Near Mint (NM or M-),Good Plus (G+),GBP 7.38,For Sale,United Kingdom,A GREAT VINYL. UPGRADE COPY. THE SLEEVE HAS A TOP EDGE SPLIT AND SOME SPINE DAMAGE.
3747968953,Original Cast*,A Chorus Line,CBS,S 70149,1975,"LP, Album",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.49,For Sale,United Kingdom,VG++ SLEEVE. Some paper missing of the edge of one of labels.
3747968974,101 Strings,Hawaiian Paradise,Avon (9),ADL 507 ,0,"2xLP, Comp",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.25,For Sale,United Kingdom,
3747968956,Original Broadway Cast*,Big River: The Adventures Of Huckleberry Finn,MCA Records,MCA-6147,1985,"LP, Album, Pin",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 8.41,For Sale,United Kingdom,NM INNER. SUPERB COPY ! UNCUT IMPORT.
3747968962,"Original Cast*, Albert W. Selden And Hal James Present Richard Kiley, Irving Jacobson, Ray Middleton, Robert Rounseville, Joan Diener",Man Of La Mancha,MCA Records,MCA-2018,1973,"LP, Album, RE, Glo",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 12.28,For Sale,United Kingdom,EXACT MATCH TO DISCOGS PHOTOS. NO CUTS OR HOLE IN THIS COLL IMPORT SLEEVE. WE ARE THE ONLY UK SELLERS OF THIS ONE PRESENTLY.
3747968968,100 Proof Aged In Soul,Somebody's Been Sleeping,Hot Wax (4),HS 7004,1969,"7"", Single, Styrene, Ter",,Very Good (VG),Generic,GBP 2.19,For Sale,United Kingdom,VISUALLY VG  BUT PLAYS GREAT - CLEAN LABELS - PLAIN SLEEVE.  MATRIX TIII
3747968959,"""Godspell"" Cast, Chorus And Accompaniment",Godspell,Music For Pleasure,MFP 5271,1972,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.25,For Sale,United Kingdom,
3747968977,10cc,100cc  Greatest Hits Of 10cc,UK Records,UKAL 1012,1975,"LP, Comp",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.9,For Sale,United Kingdom,A SLIGHT WARP BUT PLAYS THROUGH FINE. CHEAP !
3747968965,Original Cast*,Laugh-In '69 - Original Cast Album,Reprise Records,RSLP 6335,1969,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.99,For Sale,United Kingdom,
3747969004,49ers,Touch Me,4th & Broadway,BRW 157,1989,"7"", Single, Pap",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 1.13,For Sale,United Kingdom,PLAYS EXCELLENT. 
3747968983,10cc,How Dare You!,Mercury,SRM-1-1061,1976,"LP, Album, Ter",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 9.56,For Sale,United Kingdom,NM INNER. CORNER CUT IMPORT.
3747969034,ABBA,Does Your Mother Know,Epic,S EPC 7316,1979,"7"", Single",,Near Mint (NM or M-),Generic,GBP 1.9,For Sale,United Kingdom,BOXED &amp; UNPLAYED FROM NEW. CLEAN LABELS. CLEAN &amp; CRISP BIRTH / COMPANY SLEEVE.
3747969001,"3 Mustaphas 3 Present L'Orchestre ""Bam"" De Grand Mustapha International And Party",Local Music,Globe Style,FEZ 002,1986,"LP, Album",,Near Mint (NM or M-),Near Mint (NM or M-),GBP 7.38,For Sale,United Kingdom,LOOKS UNPLAYED ! BEST ON DISCOGS.
3747969049,ABBA,"Knowing Me, Knowing You",Epic,S EPC 4955,1977,"7"", Single, Sol",,Near Mint (NM or M-),Generic,GBP 2.37,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - EX+ COMPANY SLEEVE - SUPERB !
3747969007,5000 Volts,Doctor Kiss - Kiss,Philips,6006 533,1976,"7"", Single, Blu",,Near Mint (NM or M-),Generic,GBP 0.85,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - COMPANY SLEEVE - SUPERB !
3747968992,10 c.c.*,The Wall Street Shuffle,UK Records,UK 69,1974,"7"", Single",,Near Mint (NM or M-),Generic,GBP 2.27,For Sale,United Kingdom,GLOSSY VINYL - CLEAN LABELS - PLAIN SLEEVE - SUPERB ! All text on left of label inline.
3747968995,3 Mustaphas 3,Heart Of Uncle,Globe Style,ORB 043,1989,"LP, Album",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 7.38,For Sale,United Kingdom,NM- VINYL. ONLY UK SELLERS.
3747969037,ABBA,Does Your Mother Know,Epic,S EPC 7316,1979,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.53,For Sale,United Kingdom,SIDE ONE IS NM. SIDE TWO IS VG+ + CLEAN LABESL. COMPANY SLEEVE.
3747969064,ABBA,The Singles (The First Ten Years),Epic,ABBA 10,1982,"2xLP, Comp, Blu",,Very Good Plus (VG+),Very Good Plus (VG+),GBP 9.12,For Sale,United Kingdom,NM UNPLIT INNERS. RED HYPE STICKER.
